Time (s),Heave Velocity (m/s)
3.609471711,-0.07412163118
3.656982513,-0.00944940409
3.656982513,-0.01489548637
3.652231433,-0.0182992878
3.652231433,-0.02068194879
3.652231433,-0.07616391203
3.656982513,-0.1006712823
3.637978192,-0.1027135632
3.656982513,-0.1061173646
3.666484673,-0.00536484238
3.680737914,-0.04416817863
3.680737914,-0.04689121977
3.680737914,-0.04961426091
3.680737914,-0.05233730205
3.680737914,-0.05506034319
3.680737914,-0.05778338433
3.680737914,-0.06050642547
3.680737914,-0.06322946661
3.680737914,-0.06595250776
3.680737914,-0.0686755489
3.680737914,-0.07139859004
3.680737914,-0.07412163118
3.680737914,-0.1102019263
3.680737914,-0.1129249674
3.680737914,-0.1156480086
3.680737914,-0.1183710497
3.680737914,-0.1210940909
3.680737914,-0.123817132
3.680737914,-0.1265401731
3.680737914,-0.1292632143
3.680737914,-0.1316458753
3.709244395,-0.07718505246
3.709244395,-0.09930976173
3.709244395,-0.1020328029
3.709244395,-0.104755844
3.709244395,-0.1074788851
3.713995475,-0.1564936257
3.709244395,-0.1598974271
3.709244395,-0.1626204682
3.709244395,-0.1653435094
3.709244395,-0.1680665505
3.723497635,-0.06935630918
3.723497635,-0.07207935032
3.723497635,-0.07480239146
3.742501956,-0.1102019263
3.737750875,-0.1136057277
3.737750875,-0.1163287689
3.737750875,-0.11905181
3.737750875,-0.1217748511
3.737750875,-0.1244978923
3.737750875,-0.1272209334
3.737750875,-0.1299439746
3.737750875,-0.1323266356
3.742501956,-0.1714703519
3.737750875,-0.1748741534
3.737750875,-0.1775971945
3.737750875,-0.1803202357
3.737750875,-0.1830432768
3.737750875,-0.1857663179
3.737750875,-0.1878085988
3.752004116,-0.1006712823
3.752004116,-0.1033943234
3.752004116,-0.1061173646
3.766257356,-0.1544513448
3.766257356,-0.157174386
3.766257356,-0.1598974271
3.766257356,-0.1626204682
3.766257356,-0.1653435094
3.766257356,-0.1680665505
3.766257356,-0.2109544485
3.766257356,-0.2136774896
3.766257356,-0.2164005308
3.766257356,-0.2191235719
3.766257356,-0.221846613
3.766257356,-0.2245696542
3.766257356,-0.2269523152
3.780510597,-0.1313054951
3.794763837,-0.1714703519
3.794763837,-0.1741933931
3.794763837,-0.1769164342
3.794763837,-0.1796394754
3.794763837,-0.1823625165
3.794763837,-0.1850855577
3.794763837,-0.1878085988
3.794763837,-0.2300157365
3.794763837,-0.2327387776
3.794763837,-0.2354618188
3.794763837,-0.2381848599
3.794763837,-0.240907901
3.794763837,-0.243290562
3.809017078,-0.1633012285
3.809017078,-0.1660242697
3.809017078,-0.1687473108
3.823270318,-0.2109544485
3.823270318,-0.2136774896
3.823270318,-0.2164005308
3.823270318,-0.2191235719
3.823270318,-0.221846613
3.823270318,-0.2245696542
3.823270318,-0.2272926953
3.828021398,-0.2667767919
3.823270318,-0.2701805933
3.823270318,-0.2729036344
3.823270318,-0.2756266756
3.823270318,-0.2783497167
3.823270318,-0.2810727579
3.809017078,-0.2824342784
3.856527879,-0.2300157365
3.851776799,-0.2334195379
3.851776799,-0.236142579
3.851776799,-0.2388656202
3.851776799,-0.2415886613
3.851776799,-0.2439713223
3.851776799,-0.2844765593
3.851776799,-0.2871996004
3.851776799,-0.2899226416
3.851776799,-0.2926456827
3.851776799,-0.2953687238
3.851776799,-0.298091765
3.866030039,-0.2232081336
3.866030039,-0.2259311748
3.88028328,-0.2660960316
3.88028328,-0.2688190727
3.88028328,-0.2715421139
3.88028328,-0.274265155
3.88028328,-0.2769881961
3.88028328,-0.2797112373
3.88028328,-0.2824342784
3.88028328,-0.2997936657
3.88028328,-0.3225991352
3.88028328,-0.3253221764
3.88028328,-0.3280452175
3.88028328,-0.3307682587
3.88028328,-0.3331509197
3.913540841,-0.2858380798
3.908789761,-0.2892418813
3.908789761,-0.2919649224
3.908789761,-0.2946879636
3.908789761,-0.2974110047
3.913540841,-0.3362143409
